datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
9/13/2020 10:00:00 PM,9/13/2020 6:00:00 PM,SOUTH,156.569
9/13/2020 10:00:00 PM,9/13/2020 6:00:00 PM,WEST,7.900
9/13/2020 10:00:00 PM,9/13/2020 6:00:00 PM,RTO,198.383
9/13/2020 10:00:00 PM,9/13/2020 6:00:00 PM,RFC,41.814
9/13/2020 9:00:00 PM,9/13/2020 5:00:00 PM,MIDATL,173.012
9/13/2020 9:00:00 PM,9/13/2020 5:00:00 PM,SOUTH,518.517
9/13/2020 9:00:00 PM,9/13/2020 5:00:00 PM,WEST,18.430
9/13/2020 9:00:00 PM,9/13/2020 5:00:00 PM,RTO,709.959
9/13/2020 9:00:00 PM,9/13/2020 5:00:00 PM,RFC,191.442
9/13/2020 8:00:00 PM,9/13/2020 4:00:00 PM,MIDATL,329.970
9/13/2020 8:00:00 PM,9/13/2020 4:00:00 PM,SOUTH,594.114
9/13/2020 8:00:00 PM,9/13/2020 4:00:00 PM,WEST,33.481
9/13/2020 8:00:00 PM,9/13/2020 4:00:00 PM,RTO,957.565
9/13/2020 8:00:00 PM,9/13/2020 4:00:00 PM,RFC,363.451
9/13/2020 7:00:00 PM,9/13/2020 3:00:00 PM,MIDATL,388.057
9/13/2020 7:00:00 PM,9/13/2020 3:00:00 PM,SOUTH,655.018
9/13/2020 7:00:00 PM,9/13/2020 3:00:00 PM,WEST,33.796
9/13/2020 7:00:00 PM,9/13/2020 3:00:00 PM,RTO,1076.871
9/13/2020 7:00:00 PM,9/13/2020 3:00:00 PM,RFC,421.853
9/13/2020 6:00:00 PM,9/13/2020 2:00:00 PM,MIDATL,399.754
9/13/2020 6:00:00 PM,9/13/2020 2:00:00 PM,SOUTH,711.092
9/13/2020 6:00:00 PM,9/13/2020 2:00:00 PM,WEST,46.817
9/13/2020 6:00:00 PM,9/13/2020 2:00:00 PM,RTO,1157.663
9/13/2020 6:00:00 PM,9/13/2020 2:00:00 PM,RFC,446.571
9/13/2020 5:00:00 PM,9/13/2020 1:00:00 PM,MIDATL,372.988
9/13/2020 5:00:00 PM,9/13/2020 1:00:00 PM,SOUTH,686.098
9/13/2020 5:00:00 PM,9/13/2020 1:00:00 PM,WEST,44.139
9/13/2020 5:00:00 PM,9/13/2020 1:00:00 PM,RTO,1103.225
9/13/2020 5:00:00 PM,9/13/2020 1:00:00 PM,RFC,417.127
9/13/2020 4:00:00 PM,9/13/2020 12:00:00 PM,MIDATL,393.912
9/13/2020 4:00:00 PM,9/13/2020 12:00:00 PM,SOUTH,646.532
9/13/2020 4:00:00 PM,9/13/2020 12:00:00 PM,WEST,64.826
9/13/2020 4:00:00 PM,9/13/2020 12:00:00 PM,RTO,1105.270
9/13/2020 4:00:00 PM,9/13/2020 12:00:00 PM,RFC,458.738
9/13/2020 3:00:00 PM,9/13/2020 11:00:00 AM,MIDATL,422.356
